seed,sim_name,sensibility_parameter,sensibility_value,nb_agregats_om,nb_chateaux_om,nb_gros_chateaux_om,nb_seigneurs_om,nb_eglises_om,nb_eglises_paroissiales_om,distance_eglises_paroissiales_om,proportion_fp_isoles_om,augmentation_charge_fiscale_om,total_duration
9.0,4_5_OM,apparition_chateaux,1080,108,20,0,205,246,195,1473,0.16025,1.7616075886170743,191989
9.0,4_5_OM,apparition_chateaux,1100,103,16,0,202,251,199,1646,0.14275,1.7733399900149776,192099
7.0,4_5_OM,apparition_chateaux,1100,113,16,0,199,243,195,2059,0.11925,1.4559043348281016,184125
8.0,4_5_OM,apparition_chateaux,1100,123,16,0,201,248,195,2025,0.1125,1.66525,191257
8.0,4_5_OM,apparition_chateaux,1080,123,20,0,199,243,189,2044,0.1195,1.803,197030
3.0,4_5_OM,apparition_chateaux,1080,91,20,0,189,235,186,1917,0.12625,1.7747815230961297,196929
3.0,4_5_OM,apparition_chateaux,1100,110,16,0,192,239,190,1909,0.12375,1.686641697877653,192559
4.0,4_5_OM,apparition_chateaux,1100,90,16,0,193,235,185,2199,0.12125,1.75825,196881
4.0,4_5_OM,apparition_chateaux,1080,99,20,0,189,232,185,2363,0.13125,1.6965,207497
10.0,4_5_OM,apparition_chateaux,1160,96,4,0,189,236,176,2118,0.17975,1.6005482182905557,146342
2.0,4_5_OM,apparition_chateaux,1140,95,8,0,196,249,201,1917,0.16425,1.5970558882235528,186854
2.0,4_5_OM,apparition_chateaux,1120,87,12,0,192,251,202,1938,0.15425,1.6287425149700598,189355
5.0,4_5_OM,apparition_chateaux,1080,107,20,0,191,249,195,2075,0.138,1.7952107757545521,208454
5.0,4_5_OM,apparition_chateaux,1100,104,16,0,192,241,189,2282,0.125,1.6443003242703913,207734
10.0,4_5_OM,apparition_communautes,800,117,44,8,202,243,182,1664,0.13775,4.220782457014702,177568
7.0,4_5_OM,apparition_chateaux,1120,106,12,0,203,234,187,2304,0.11025,1.4519182859990034,182627
1.0,4_5_OM,apparition_chateaux,1120,105,12,0,203,249,199,1805,0.11725,1.579930278884462,196060
9.0,4_5_OM,apparition_chateaux,1120,93,12,0,202,244,192,1658,0.1495,1.6420369445831253,185362
6.0,4_5_OM,apparition_chateaux,1120,104,12,0,198,259,207,1819,0.1275,1.5737419033383158,190277
1.0,4_5_OM,apparition_chateaux,1140,109,8,0,212,245,194,1787,0.1305,1.4930278884462151,190824
6.0,4_5_OM,apparition_chateaux,1140,101,8,0,199,264,212,1690,0.1445,1.4790732436472347,192374
